maintenance_id,bike_id,reported_time,resolved_time,issue_description
80bb60cd-ae7f-4b00-a810-aec0eef73a3d,794095e2-ace7-4652-b548-34bc8e668b95,2025-08-27 09:21:15,2025-09-01,"The handlebars on my rental bike are loose and keep shifting while I'm riding, it's pretty annoying. I've tried to tighten them but it doesn't seem to be making a difference. I'd appreciate it if someone could take a look and fix the issue so I can finish my ride safely."
48c23265-1fd5-439b-ba92-954039cdbb5b,c4cf677d-a21b-45cf-829b-79ff387c72f7,2025-08-27 02:30:08,2025-08-30,
9733043a-e102-44a0-acff-802badecd820,6444be5a-6888-4a3e-a8e3-e9f87d2140b6,2025-08-27 03:30:35,2025-09-01,"The handlebars on my rental bike are loose and keep shifting while I'm riding, it's pretty annoying. I've tried to tighten them but it doesn't seem to be making a difference. I'd appreciate it if someone could take a look and fix the issue so I can finish my ride safely."
38d5a6a7-703e-434a-9614-e605614871a1,b7aa1a8f-62cf-461b-a872-53979a50d123,2025-08-27 12:24:21,2025-09-01,"The chain on my rental bike keeps slipping off the gears, making it hard to pedal. I've tried adjusting it, but it doesn't seem to be staying in place. I'd appreciate it if someone could take a look and fix the issue so I can continue my ride."
0cbc80ea-4f9b-4e24-8b75-5a99845ff844,02442b5d-0249-4a5e-adce-5e28fdeae621,2025-08-27 22:35:06,2025-08-29,"The handlebars on my rental bike are loose and keep shifting while I'm riding, it's pretty annoying. I've tried to tighten them but it doesn't seem to be making a difference. I'd appreciate it if someone could take a look and fix the issue so I can finish my ride safely."
06b0acdc-7c13-4694-9dbc-688cf2823883,70385138-a834-4de8-bbe0-e2daae649412,2025-08-27 10:16:41,2025-08-28,"The tires on my rental bike are low on air and one of them has a slow leak, making it difficult to ride. I've only had the bike for an hour and I'm already having to stop frequently to add air. I'd appreciate it if someone could take a look at it and fix the issue as soon as possible."
f1bb6155-a201-4e16-b591-f139dac275b1,3e7c7787-70b7-46c6-807d-05ba202f60ab,2025-08-27 11:27:03,2025-08-28,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
f5bc0272-eb37-4f8d-96cc-1bb98872345c,72538ae4-2d4e-4cb5-b851-be3777625b17,2025-08-27 05:00:51,2025-08-29,
c05920f0-3d58-42d5-b440-5f8b6dd86ac1,6d5f8ac0-0c43-4aee-9387-42f51b3b04b8,2025-08-27 04:26:51,2025-08-30,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
ab6a45dc-82d4-47c4-b0ce-221bcbe7f98a,061496fd-b988-4d23-b439-8f931fefe7d6,2025-08-27 01:45:20,2025-09-01,"The chain on my rental bike keeps slipping off the gears, making it hard to pedal. I've tried adjusting it, but it doesn't seem to be staying in place. I'd appreciate it if someone could take a look and fix the issue so I can continue my ride."
