maintenance_id,bike_id,reported_time,resolved_time,issue_description
33a9e8b5-cca9-4a39-8167-067b3b87c099,26354a04-099a-423a-9b26-5c91ad1e3525,2025-08-14 17:14:23,2025-08-17,"The chain on my rental bike keeps slipping off the gears, making it hard to pedal. I've tried adjusting it, but it doesn't seem to be staying in place. I'd appreciate it if someone could take a look and fix the issue so I can continue my ride."
9908a917-1bad-4ee3-a32e-f08e3c557df1,15dc42c5-a94c-440e-926f-8e98189489e1,2025-08-14 23:09:40,2025-08-19,"The seat on my rental bike is loose and keeps sliding back and forth, making it hard to ride. I've tried to tighten it, but it doesn't seem to be staying in place. Can I get a replacement or have this one fixed ASAP?"
aa45b7ec-5215-4f9b-8d6a-ca592fcf3d3b,7a2f488f-19c2-4a4c-9380-4854618aae2b,2025-08-14 03:52:26,2025-08-16,"The handlebars on my rental bike are loose and keep shifting while I'm riding, it's pretty annoying. I've tried to tighten them but it doesn't seem to be making a difference. I'd appreciate it if someone could take a look and fix the issue so I can finish my ride safely."
e55c7525-008f-41b6-ba6f-1b5a6aba446d,93d97605-47eb-4b98-94b4-08c7e156d2e8,2025-08-14 09:15:15,2025-08-18,"The seat on my rental bike is loose and keeps sliding back and forth, making it hard to ride. I've tried to tighten it, but it doesn't seem to be staying in place. Can I get a replacement or have this one fixed ASAP?"
61a07b91-02b7-4f99-be98-b424c9d723b1,19b4c0fd-6801-461c-a85c-773074356a96,2025-08-14 17:32:26,2025-08-17,"The chain on my rental bike keeps slipping off the gears, making it hard to pedal. I've tried adjusting it, but it doesn't seem to be staying in place. I'd appreciate it if someone could take a look and fix the issue so I can continue my ride."
0bf32f6c-91a2-42df-a532-3d78e0b87fe6,de21cf20-38ed-4023-a851-8644b6a318f2,2025-08-14 11:01:07,2025-08-18,"The seat on my rental bike is loose and keeps sliding back and forth, making it hard to ride. I've tried to tighten it, but it doesn't seem to be staying in place. Can I get a replacement or have this one fixed ASAP?"
942a2b8e-38cb-48b1-8a48-d7d5deab57b4,33e7e216-0426-47c2-8dd3-00fa5e679fec,2025-08-14 12:13:24,2025-08-17,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
df53927a-ac2c-426c-b6f6-cf6d521c8d17,d6ce88de-42ee-47e9-a3a3-f9de4700745a,2025-08-14 09:51:31,2025-08-16,"The tires on my rental bike are low on air and one of them has a slow leak, making it difficult to ride. I've only had the bike for an hour and I'm already having to stop frequently to add air. I'd appreciate it if someone could take a look at it and fix the issue as soon as possible."
acf916db-9fa1-4fa2-af24-8764b46d508e,02b356cb-9a31-463a-af51-d0622932adab,2025-08-14 21:06:28,2025-08-18,"The seat on my rental bike is loose and keeps sliding back and forth, making it hard to ride. I've tried to tighten it, but it doesn't seem to be staying in place. Can I get a replacement or have this one fixed ASAP?"
38b9f707-3fdb-4e0f-9eaa-eb5094144071,073fecd4-d3dd-4d63-b50f-fa765056f4a0,2025-08-14 23:30:10,2025-08-18,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
10c36c9f-c21a-484b-b9e9-5a17ab021148,14d25db1-0219-4804-8d89-3496513fd990,2025-08-14 03:17:00,2025-08-16,"The handlebars on my rental bike are loose and keep shifting while I'm riding, it's pretty annoying. I've tried to tighten them but it doesn't seem to be making a difference. I'd appreciate it if someone could take a look and fix the issue so I can finish my ride safely."
e90fb8e2-b83a-4132-86c8-22860a975cca,c1d6c6a5-da86-4f99-9318-b448fe7dd169,2025-08-14 22:53:24,2025-08-15,"The chain on my rental bike keeps slipping off the gears, making it hard to pedal. I've tried adjusting it, but it doesn't seem to be staying in place. I'd appreciate it if someone could take a look and fix the issue so I can continue my ride."
bf884627-89c8-4b0f-b305-0b373acfd30b,6fa31fa1-b669-44fc-a1c3-04ed4bc27f04,2025-08-14 10:46:49,2025-08-19,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
