ride_id,start_time,end_time,start_station_id,end_station_id,bike_id,user_type,customer_id
7ad81cdc-440e-46aa-bf54-d6686e097749,2025-08-26 01:44:15,2025-08-26 03:02:13,1066c763-a3b3-4292-9d33-cf474e397055,04cd70f1-9492-4218-b96a-f63547a3f6f9,26354a04-099a-423a-9b26-5c91ad1e3525,member,d5179724-ef59-4ea1-9c21-c82851eefd99
ace76f0b-60ac-460c-b534-3899b885394b,2025-08-26 05:19:59,2025-08-26 07:29:30,1066c763-a3b3-4292-9d33-cf474e397055,a0c61868-01f3-4cc6-ae38-1c737d315e35,26354a04-099a-423a-9b26-5c91ad1e3525,non-member,6903977c-1075-4f5e-a76f-5cf3cb52937e
ccbcef30-c66e-4ba1-9162-4dec84ba5e1f,2025-08-26 07:56:58,2025-08-26 08:03:35,1066c763-a3b3-4292-9d33-cf474e397055,04cd70f1-9492-4218-b96a-f63547a3f6f9,26354a04-099a-423a-9b26-5c91ad1e3525,non-member,44464ae7-f2f3-4aa7-b456-e1c60444cd57
200cd95d-0b8c-4d2d-adb5-ac71e1662da9,2025-08-26 08:16:10,2025-08-26 10:13:23,1066c763-a3b3-4292-9d33-cf474e397055,69b25e37-55ba-4437-a09b-5973a647f7bb,26354a04-099a-423a-9b26-5c91ad1e3525,non-member,a7fa41b4-cdce-45fb-8912-6f9cdfb108aa
2acd6bca-2635-4afb-bc76-c5504881dcea,2025-08-26 10:24:25,2025-08-26 10:35:02,1066c763-a3b3-4292-9d33-cf474e397055,99810fea-31be-4514-ab04-fce0cc4c715e,26354a04-099a-423a-9b26-5c91ad1e3525,member,c3545fe5-33dd-4fca-bd41-5f1a25d041db
52b8d4c0-124e-46ab-8d52-ba3a62ce1f4a,2025-08-26 14:41:14,2025-08-26 15:01:53,1066c763-a3b3-4292-9d33-cf474e397055,96bd6410-a693-4dec-b53c-e67b25cb314a,26354a04-099a-423a-9b26-5c91ad1e3525,non-member,c65002c4-ef7d-4d1d-894c-9200f42107b8
3f37f43b-ea9e-4e28-9156-39c5237fb2ab,2025-08-26 15:36:58,2025-08-26 17:33:24,1066c763-a3b3-4292-9d33-cf474e397055,99aa4b03-ea08-43a4-94dd-7646fcbcf36c,26354a04-099a-423a-9b26-5c91ad1e3525,non-member,356d5898-a105-4414-ab70-e0095b69eb65
9330264c-7bf1-45b9-b552-cccc4d247f43,2025-08-26 19:36:57,2025-08-26 22:50:45,1066c763-a3b3-4292-9d33-cf474e397055,844e0cdf-2a22-4096-8d58-6c034b3ebf30,26354a04-099a-423a-9b26-5c91ad1e3525,member,8260dc59-796b-4f83-bed1-6fa80a854cba
62c463ad-188d-4eff-b4bf-28d4c2edfbec,2025-08-26 23:34:50,2025-08-26 23:46:43,1066c763-a3b3-4292-9d33-cf474e397055,2b74a5a2-1bd3-4aa9-88ef-d299f1d175a9,26354a04-099a-423a-9b26-5c91ad1e3525,non-member,23aa09ef-ad31-433e-af14-57c2af93adc5
a0f2569e-eb24-48bb-b35f-e931794e3dbf,2025-08-26 02:48:09,2025-08-26 03:00:08,99810fea-31be-4514-ab04-fce0cc4c715e,1066c763-a3b3-4292-9d33-cf474e397055,e267f0df-8efd-4444-8236-189e934465da,member,372f90e9-7e89-41cb-99de-a6baadfb47a8
bb88f0ba-3fdf-4dd0-bcc9-c7194944e296,2025-08-26 03:24:48,2025-08-26 03:52:03,99810fea-31be-4514-ab04-fce0cc4c715e,c4ad6437-6c2d-43d1-aa23-d46b5df8b6a7,e267f0df-8efd-4444-8236-189e934465da,member,08667a19-8e1a-4f88-9976-1a76f8093cbf
fba4eb7e-8de9-4e9e-a1cd-b559f982c0b4,2025-08-26 04:52:43,2025-08-26 04:58:26,99810fea-31be-4514-ab04-fce0cc4c715e,47a93244-6745-475a-8bf2-a08f341805e9,e267f0df-8efd-4444-8236-189e934465da,non-member,291f5f49-2d1d-4230-961d-b5fd99945597
68f69c31-08dd-4154-9e16-3d9939d2c613,2025-08-26 11:45:16,2025-08-26 11:48:22,99810fea-31be-4514-ab04-fce0cc4c715e,1066c763-a3b3-4292-9d33-cf474e397055,e267f0df-8efd-4444-8236-189e934465da,non-member,a9ffac4c-c8cb-4fa2-8d44-6c232c7d0b76
373a246c-84da-478d-9db7-8740651161c0,2025-08-26 14:16:50,2025-08-26 19:18:46,99810fea-31be-4514-ab04-fce0cc4c715e,3405b75d-474c-4774-9805-afc93f409d64,e267f0df-8efd-4444-8236-189e934465da,non-member,7dd149fb-66ff-4dbf-a0c5-5fbeb9f71a13
be05b960-2c1b-4075-a7b2-3adc641970cf,2025-08-26 21:21:12,2025-08-26 23:53:39,99810fea-31be-4514-ab04-fce0cc4c715e,a0c61868-01f3-4cc6-ae38-1c737d315e35,e267f0df-8efd-4444-8236-189e934465da,non-member,10117113-35aa-45d0-ae8d-c0bf679cc37d
69ff6565-ff50-4dfa-ab8d-77af10381640,2025-08-26 02:33:36,2025-08-26 03:56:56,65008017-abdf-42fc-8752-c5188ca7cd61,72da959e-7cc7-427e-8816-13a25450c6ee,23a0e656-edc6-4dd6-939b-80f4d715c9cd,member,1e74501f-75bf-4f16-b3bd-a992a24ae866
d5c4e00a-0f25-4eee-a358-07d74540e325,2025-08-26 09:14:49,2025-08-26 09:46:29,65008017-abdf-42fc-8752-c5188ca7cd61,69b25e37-55ba-4437-a09b-5973a647f7bb,23a0e656-edc6-4dd6-939b-80f4d715c9cd,non-member,3b9a4f86-7bd0-499e-a092-a8b55e4790f4
e2a3c80e-7f88-40da-95ac-5561d217640b,2025-08-26 09:54:34,2025-08-26 10:28:12,65008017-abdf-42fc-8752-c5188ca7cd61,33bb6a37-5494-4a00-be0a-cc9c8a079c39,23a0e656-edc6-4dd6-939b-80f4d715c9cd,member,1322c355-7340-49c0-847c-7c84ad9e72ff
