maintenance_id,bike_id,reported_time,resolved_time,issue_description
d79135a3-ded8-48a7-9faf-8912f703fe18,15dc42c5-a94c-440e-926f-8e98189489e1,2025-09-08 08:53:20,2025-09-12,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
dd8bab13-100d-4e3b-917f-6118c450dcb7,17fa2898-b55c-40c8-814a-c183b38ed668,2025-09-08 06:36:38,2025-09-13,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
5cc72970-2b7c-472f-bf38-ba47c86f36af,02f2d182-a1d2-4dd6-826d-6c64a887c36c,2025-09-08 11:50:00,2025-09-11,"The seat on my rental bike is loose and keeps sliding back and forth, making it hard to ride. I've tried to tighten it, but it doesn't seem to be staying in place. Can I get a replacement or have this one fixed ASAP?"
38893c54-8db0-41db-8729-1f5ed711423f,85397d32-391d-4134-9a0e-45081c33e381,2025-09-08 18:18:03,2025-09-10,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
58cca83a-8665-46b2-a114-ae09c1ecfd0d,d6ce88de-42ee-47e9-a3a3-f9de4700745a,2025-09-08 17:18:49,2025-09-09,"The seat on my rental bike is loose and keeps sliding back and forth, making it hard to ride. I've tried to tighten it, but it doesn't seem to be staying in place. Can I get a replacement or have this one fixed ASAP?"
14e0c862-6e63-461b-9b8f-2c36378ff925,36c2ab81-0579-438d-8165-b7055562783c,2025-09-08 20:00:06,2025-09-13,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
1cca9275-36db-41c9-957a-ab6099caf3a9,c9feea2e-336a-471e-afae-92b4952626ad,2025-09-08 16:02:41,2025-09-10,"The tires on my rental bike are low on air and one of them has a slow leak, making it difficult to ride. I've only had the bike for an hour and I'm already having to stop frequently to add air. I'd appreciate it if someone could take a look at it and fix the issue as soon as possible."
c7483bdc-5043-4bfc-a4ac-f4260dccd61c,3ad4ad73-e77e-4926-89ac-7a23d8fd691e,2025-09-08 22:53:15,2025-09-10,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
19fceefd-4faa-42c0-b7d5-7ffc82683609,84ef2661-fd05-4708-a4a1-52b7fa8808a8,2025-09-08 08:13:46,2025-09-09,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
45ef48d7-53ea-47f7-ba72-1d5a8d0d8428,9a97e815-739b-4c3c-b029-1d5093e5f768,2025-09-08 15:55:40,2025-09-13,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
93f33e1a-2a5e-4abd-ba9e-b1cf4576c112,60ed1475-a733-4f18-8fea-bd293abe14cc,2025-09-08 11:43:21,2025-09-13,Broken
